EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
869,163.52,163.87,163.52,163.805,17593
870,163.205,163.5,163.16,163.5,32644
871,163.4299,163.4299,163.25,163.26,11550
872,163.6,163.73,163.35,163.41,11911
873,163.445,163.69,163.27,163.6,18639
874,163.15,163.465,163.11,163.45,9223
875,163.2575,163.47,163.13,163.15,12301
876,163.325,163.685,163.1984,163.33,12640
877,162.97,163.37,162.89,163.34,10745
878,162.65,163.1,162.5789,163.06,17524
879,162.955,163.12,162.7,162.7,18377
880,163.42,163.565,162.96,162.98,29897
881,163.45,163.6,163.16,163.35,21078
882,163.08,163.45,162.99,163.44,35874
883,162.83,163.24,162.7,163.08,112325
884,162.18,162.75,161.81,162.41,54461
885,161.93,162.49,161.85,162.41,19907
886,161.8617,162.03,161.34,161.93,11593
887,162.33,162.52,161.75,161.85,27244
888,162,162.515,161.92,162.33,34641
889,162.815,162.92,162.2,162.24,43478
890,162.51,162.94,162.43,162.79,21381
891,162.66,162.745,162.31,162.36,14811
892,162.83,163.06,162.63,162.63,22965
893,162.875,163.18,162.73,162.73,6656
894,162.97,163.06,162.71,162.78,38983
895,163.47,163.54,162.96,162.98,31112
896,163.231,163.46,163.1,163.36,15286
897,162.65,163.18,162.65,163.14,26907
898,163.02,163.059,162.65,162.761,14771
899,162.54,163.12,162.4759,162.99,9122
900,162.06,162.54,162.06,162.53,6128
901,161.94,162.1,161.71,162.03,6992
902,161.885,162.29,161.76,161.91,8920
a1518187200,161.705,161.97,161.56,161.86,8081
1,161.16,161.74,161.14,161.7,7005
2,160.7191,161.2799,160.64,161.2799,24189
3,160.675,161.01,160.5818,160.83,11404
4,160.78,160.84,160.39,160.65,15585
5,160.4975,161.04,160.4975,160.8,10641
6,160.94,160.96,160.4716,160.495,12175
7,161.48,161.49,160.83,160.899,7150
8,160.9,161.41,160.86,161.41,17729
9,160.61,161.03,160.59,160.91,6578
10,160.4691,160.7399,160.38,160.7399,12898
11,159.67,160.41,159.5101,160.4,38516
12,159.17,159.97,159.1,159.765,32626
13,158.63,159.31,158.63,159.17,19142
14,156.13,158.7125,155.55,158.56,74000
15,158.08,158.78,156.04,156.2,45681
16,159.135,159.19,157.73,157.99,32816
17,158.14,159.14,158.14,159.1,49133
18,157.23,158.22,157.19,158.07,72778
19,156.32,157.5,156.21,157.195,221476
20,156.385,156.87,153.51,154.35,85972
21,157.22,157.82,156.06,156.17,54686
22,158.655,159.22,157.052,157.18,92355
23,159,159.82,158.07,158.07,93824
24,157.14,159.12,156.92,158.94,85223
25,156.94,157.615,156.72,157.23,47430
26,156.39,157.12,156.03,157.12,43925
27,156.44,156.91,155.96,156.38,88164
28,156.93,157.4,156.43,156.635,24780
29,156.44,156.86,156.23,156.79,33862
30,157.07,157.07,156.35,156.485,31358
31,156.46,157.1,156.17,157.07,31334
32,156.325,156.61,155.94,156.485,38643
33,157.19,157.19,156.42,156.42,32854
34,157.11,157.62,157.04,157.355,19735
